Compound,Workflow,,,,,,,,,,,,,,,,,,,Retention Time,,,PTC Confirmed RT,SMILES
20Betadihydroprednisolone,TargetPeak,,,,,,,,,,,,,,,,,,,5.31,,,,
20Betadihydroprednisolone,Fragment,,,,,,,,,,,,,,,,,,,5.31,,,,
20Betadihydroprednisolone,Fragment,,,,,,,,,,,,,,,,,,,5.31,,,,
20Betadihydroprednisolone,Fragment,,,,,,,,,,,,,,,,,,,5.31,,,,
20Betadihydroprednisolone,Fragment,,,,,,,,,,,,,,,,,,,5.31,,,,
20Betadihydroprednisolone,Fragment,,,,,,,,,,,,,,,,,,,5.31,,,,
21Desacetyl deflazacort,TargetPeak,,,,,,,,,,,,,,,,,,,5.77,,,,
21Desacetyl deflazacort,Fragment,,,,,,,,,,,,,,,,,,,5.77,,,,
21Desacetyl deflazacort,Fragment,,,,,,,,,,,,,,,,,,,5.77,,,,
21Desacetyl deflazacort,Fragment,,,,,,,,,,,,,,,,,,,5.77,,,,
21Desacetyl deflazacort,Fragment,,,,,,,,,,,,,,,,,,,5.77,,,,
21Desacetyl deflazacort,Fragment,,,,,,,,,,,,,,,,,,,5.77,,,,
25CNBOH,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
2CBd6,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
2CI,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
2CI,Fragment,,,,,,,,,,,,,,,,,,,,,,,
2CI,Fragment,,,,,,,,,,,,,,,,,,,,,,,
2CI,Fragment,,,,,,,,,,,,,,,,,,,,,,,
2CI,Fragment,,,,,,,,,,,,,,,,,,,,,,,
2CI,Fragment,,,,,,,,,,,,,,,,,,,,,,,
2CId6,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
34Dichloromethylphenidate,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
345Trimethoxybenzoic acid,TargetPeak,,,,,,,,,,,,,,,,,,,4.65,,,,
345Trimethoxybenzoic acid,Fragment,,,,,,,,,,,,,,,,,,,4.65,,,,
345Trimethoxybenzoic acid,Fragment,,,,,,,,,,,,,,,,,,,4.65,,,,
345Trimethoxybenzoic acid,Fragment,,,,,,,,,,,,,,,,,,,4.65,,,,
345Trimethoxybenzoic acid,Fragment,,,,,,,,,,,,,,,,,,,4.65,,,,
345Trimethoxybenzoic acid,Fragment,,,,,,,,,,,,,,,,,,,4.65,,,,
34Dimethylmethcathinone,TargetPeak,,,,,,,,,,,,,,,,,,,4.09,,,,
34Dimethylmethcathinone,Fragment,,,,,,,,,,,,,,,,,,,4.09,,,,
34Dimethylmethcathinone,Fragment,,,,,,,,,,,,,,,,,,,4.09,,,,
34Dimethylmethcathinone,Fragment,,,,,,,,,,,,,,,,,,,4.09,,,,
34Dimethylmethcathinone,Fragment,,,,,,,,,,,,,,,,,,,4.09,,,,
3Acetamidophenol,TargetPeak,,,,,,,,,,,,,,,,,,,2.78,,,,
3Acetamidophenol,Fragment,,,,,,,,,,,,,,,,,,,2.78,,,,
3fluorometcathinone 3FMC,TargetPeak,,,,,,,,,,,,,,,,,,,2.61,,,,
3fluorometcathinone 3FMC,Fragment,,,,,,,,,,,,,,,,,,,2.61,,,,
3fluorometcathinone 3FMC,Fragment,,,,,,,,,,,,,,,,,,,2.61,,,,
3fluorometcathinone 3FMC,Fragment,,,,,,,,,,,,,,,,,,,2.61,,,,
3Hydroxybromazepam,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
3Hydroxybromazepam,Fragment,,,,,,,,,,,,,,,,,,,,,,,
3Hydroxybromazepam,Fragment,,,,,,,,,,,,,,,,,,,,,,,
3Hydroxybromazepam,Fragment,,,,,,,,,,,,,,,,,,,,,,,
3Hydroxybromazepam,Fragment,,,,,,,,,,,,,,,,,,,,,,,
3Hydroxybromazepam,Fragment,,,,,,,,,,,,,,,,,,,,,,,
3Hydroxybromazepamd4,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
3Hydroxystanozolol,TargetPeak,,,,,,,,,,,,,,,,,,,6.08,,,,
3Hydroxystanozolol,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
3Hydroxystanozolol,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
3Hydroxystanozolol,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
3Hydroxystanozolol,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
3Hydroxystanozolol,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
3Indoleacetic acid,TargetPeak,,,,,,,,,,,,,,,,,,,4.61,,,,
3Indoleacetic acid,Fragment,,,,,,,,,,,,,,,,,,,4.61,,,,
3Methoxytyramine,TargetPeak,,,,,,,,,,,,,,,,,,,1.03,,,,
3Methoxytyramine,Fragment,,,,,,,,,,,,,,,,,,,1.03,,,,
3Methoxytyramine,Fragment,,,,,,,,,,,,,,,,,,,1.03,,,,
3Methoxytyramine,Fragment,,,,,,,,,,,,,,,,,,,1.03,,,,
3Methyluric acidneg,TargetPeak,,,,,,,,,,,,,,,,,,,0.55,,,,
3Methyluric acidneg,Fragment,,,,,,,,,,,,,,,,,,,0.55,,,,
3Methyluric acidneg,Fragment,,,,,,,,,,,,,,,,,,,0.55,,,,
3Methyluric acidneg,Fragment,,,,,,,,,,,,,,,,,,,0.55,,,,
3Methyluric acidneg,Fragment,,,,,,,,,,,,,,,,,,,0.55,,,,
3Methyluric acidneg,Fragment,,,,,,,,,,,,,,,,,,,0.55,,,,
3Methyluric acidpos,TargetPeak,,,,,,,,,,,,,,,,,,,0.55,,,,
3Methyluric acidpos,Fragment,,,,,,,,,,,,,,,,,,,0.55,,,,
3Methyluric acidpos,Fragment,,,,,,,,,,,,,,,,,,,0.55,,,,
3Methyluric acidpos,Fragment,,,,,,,,,,,,,,,,,,,0.55,,,,
3Methyluric acidpos,Fragment,,,,,,,,,,,,,,,,,,,0.55,,,,
3Methyluric acidpos,Fragment,,,,,,,,,,,,,,,,,,,0.55,,,,
4Acetamidoantipyrine,TargetPeak,,,,,,,,,,,,,,,,,,,3.45,,,,
4Acetamidoantipyrine,Fragment,,,,,,,,,,,,,,,,,,,3.45,,,,
4Acetamidoantipyrine,Fragment,,,,,,,,,,,,,,,,,,,3.45,,,,
4Acetamidoantipyrine,Fragment,,,,,,,,,,,,,,,,,,,3.45,,,,
4Acetamidoantipyrine,Fragment,,,,,,,,,,,,,,,,,,,3.45,,,,
4Acetamidoantipyrine,Fragment,,,,,,,,,,,,,,,,,,,3.45,,,,
4Acetamidophenol,TargetPeak,,,,,,,,,,,,,,,,,,,2.23,,,,
4Acetamidophenol,Fragment,,,,,,,,,,,,,,,,,,,2.23,,,,
4AcetoxyMALT,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
4Amino6chloro13benzenedisulfonamide,TargetPeak,,,,,,,,,,,,,,,,,,,2,,,,
4Amino6chloro13benzenedisulfonamide,Fragment,,,,,,,,,,,,,,,,,,,2,,,,
4Amino6chloro13benzenedisulfonamide,Fragment,,,,,,,,,,,,,,,,,,,2,,,,
4Amino6chloro13benzenedisulfonamide,Fragment,,,,,,,,,,,,,,,,,,,2,,,,
4Amino6chloro13benzenedisulfonamide,Fragment,,,,,,,,,,,,,,,,,,,2,,,,
4Amino6chloro13benzenedisulfonamide,Fragment,,,,,,,,,,,,,,,,,,,2,,,,
4Aminoantipyrine,TargetPeak,,,,,,,,,,,,,,,,,,,2.93,,,,
4Aminoantipyrine,Fragment,,,,,,,,,,,,,,,,,,,2.93,,,,
4Aminoantipyrine,Fragment,,,,,,,,,,,,,,,,,,,2.93,,,,
4Aminoantipyrine,Fragment,,,,,,,,,,,,,,,,,,,2.93,,,,
4Aminoantipyrine,Fragment,,,,,,,,,,,,,,,,,,,2.93,,,,
4Aminoantipyrine,Fragment,,,,,,,,,,,,,,,,,,,2.93,,,,
4AnilinoNphenethylpiperidine 4ANPP,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
4AnilinoNphenethylpiperidine 4ANPP,Fragment,,,,,,,,,,,,,,,,,,,,,,,
4AnilinoNphenethylpiperidine 4ANPP,Fragment,,,,,,,,,,,,,,,,,,,,,,,
4AnilinoNphenethylpiperidine 4ANPP,Fragment,,,,,,,,,,,,,,,,,,,,,,,
4Bromo25dimethoxyphenylethylamine 2CB,TargetPeak,,,,,,,,,,,,,,,,,,,4.3,,,,
4Bromo25dimethoxyphenylethylamine 2CB,Fragment,,,,,,,,,,,,,,,,,,,4.3,,,,
4Bromo25dimethoxyphenylethylamine 2CB,Fragment,,,,,,,,,,,,,,,,,,,4.3,,,,
4Bromo25dimethoxyphenylethylamine 2CB,Fragment,,,,,,,,,,,,,,,,,,,4.3,,,,
4Bromo25dimethoxyphenylethylamine 2CB,Fragment,,,,,,,,,,,,,,,,,,,4.3,,,,
4Butoxyphenylacetic acid,TargetPeak,,,,,,,,,,,,,,,,,,,6.58,,,,
4Butoxyphenylacetic acid,Fragment,,,,,,,,,,,,,,,,,,,6.58,,,,
4Butoxyphenylacetic acid,Fragment,,,,,,,,,,,,,,,,,,,6.58,,,,
4Butoxyphenylacetic acid,Fragment,,,,,,,,,,,,,,,,,,,6.58,,,,
4Butoxyphenylacetic acid,Fragment,,,,,,,,,,,,,,,,,,,6.58,,,,
4Carboxydihydromephedrone,TargetPeak,,,,,,,,,,,,,,,,,,,1.13,,,,
4Carboxydihydromephedrone,Fragment,,,,,,,,,,,,,,,,,,,1.13,,,,
4Carboxydihydromephedrone,Fragment,,,,,,,,,,,,,,,,,,,1.13,,,,
4Carboxydihydromephedrone,Fragment,,,,,,,,,,,,,,,,,,,1.13,,,,
4EMC 4Ethylmethcathinone,TargetPeak,,,,,,,,,,,,,,,,,,,4.05,,,,
4EMC 4Ethylmethcathinone,Fragment,,,,,,,,,,,,,,,,,,,4.05,,,,
4EMC 4Ethylmethcathinone,Fragment,,,,,,,,,,,,,,,,,,,4.05,,,,
4EMC 4Ethylmethcathinone,Fragment,,,,,,,,,,,,,,,,,,,4.05,,,,
4EMC 4Ethylmethcathinone,Fragment,,,,,,,,,,,,,,,,,,,4.05,,,,
4EMC 4Ethylmethcathinone,Fragment,,,,,,,,,,,,,,,,,,,4.05,,,,
4Fluoroamphetamine 4FA,TargetPeak,,,,,,,,,,,,,,,,,,,2.95,,,,
4Fluoroamphetamine 4FA,Fragment,,,,,,,,,,,,,,,,,,,2.95,,,,
4Fluoroamphetamine 4FA,Fragment,,,,,,,,,,,,,,,,,,,2.95,,,,
4Fluoroamphetamine 4FA,Fragment,,,,,,,,,,,,,,,,,,,2.95,,,,
4Fluoroamphetamine 4FA,Fragment,,,,,,,,,,,,,,,,,,,2.95,,,,
4Fluoroamphetamine 4FA,Fragment,,,,,,,,,,,,,,,,,,,2.95,,,,
4Hydroxy Xylazine,TargetPeak,,,,,,,,,,,,,,,,,,,3.14,,,,
4Hydroxy Xylazine,Fragment,,,,,,,,,,,,,,,,,,,3.14,,,,
4Hydroxy Xylazine,Fragment,,,,,,,,,,,,,,,,,,,3.14,,,,
4Hydroxy Xylazine,Fragment,,,,,,,,,,,,,,,,,,,3.14,,,,
4Hydroxy Xylazine,Fragment,,,,,,,,,,,,,,,,,,,3.14,,,,
4Hydroxy Xylazine,Fragment,,,,,,,,,,,,,,,,,,,3.14,,,,
4HydroxyMET,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
4Hydroxybenzenesulfonic acid,TargetPeak,,,,,,,,,,,,,,,,,,,0.26,,,,C1=CC(=CC=C1O)S(=O)(=O)O
4Hydroxybenzenesulfonic acid,Fragment,,,,,,,,,,,,,,,,,,,0.26,,,,C1=CC(=CC=C1O)S(=O)(=O)O
4Hydroxybenzenesulfonic acid,Fragment,,,,,,,,,,,,,,,,,,,0.26,,,,C1=CC(=CC=C1O)S(=O)(=O)O
4Hydroxybenzenesulfonic acid,Fragment,,,,,,,,,,,,,,,,,,,0.26,,,,C1=CC(=CC=C1O)S(=O)(=O)O
4Hydroxybenzenesulfonic acid,Fragment,,,,,,,,,,,,,,,,,,,0.26,,,,C1=CC(=CC=C1O)S(=O)(=O)O
4MEC 4Methylethcathinone,TargetPeak,,,,,,,,,,,,,,,,,,,3.66,,,,
4MEC 4Methylethcathinone,Fragment,,,,,,,,,,,,,,,,,,,3.66,,,,
4MEC 4Methylethcathinone,Fragment,,,,,,,,,,,,,,,,,,,3.66,,,,
4MEC 4Methylethcathinone,Fragment,,,,,,,,,,,,,,,,,,,3.66,,,,
4MEC 4Methylethcathinone,Fragment,,,,,,,,,,,,,,,,,,,3.66,,,,
4MEC 4Methylethcathinone,Fragment,,,,,,,,,,,,,,,,,,,3.66,,,,
4Methylalphapyrrolidinobutiophenone,TargetPeak,,,,,,,,,,,,,,,,,,,4.22,,,,
4Methylalphapyrrolidinobutiophenone,Fragment,,,,,,,,,,,,,,,,,,,4.22,,,,
4Methylalphapyrrolidinobutiophenone,Fragment,,,,,,,,,,,,,,,,,,,4.22,,,,
4Methylalphapyrrolidinobutiophenone,Fragment,,,,,,,,,,,,,,,,,,,4.22,,,,
4Methylalphapyrrolidinobutiophenone,Fragment,,,,,,,,,,,,,,,,,,,4.22,,,,
4Methylalphapyrrolidinobutiophenone,Fragment,,,,,,,,,,,,,,,,,,,4.22,,,,
4Methylthiamphetamine 4MTA,TargetPeak,,,,,,,,,,,,,,,,,,,3.93,,,,
4Methylthiamphetamine 4MTA,Fragment,,,,,,,,,,,,,,,,,,,3.93,,,,
4Methylthiamphetamine 4MTA,Fragment,,,,,,,,,,,,,,,,,,,3.93,,,,
4Methylthiamphetamine 4MTA,Fragment,,,,,,,,,,,,,,,,,,,3.93,,,,
4Methylthiamphetamine 4MTA,Fragment,,,,,,,,,,,,,,,,,,,3.93,,,,
4Methylthiamphetamine 4MTA,Fragment,,,,,,,,,,,,,,,,,,,3.93,,,,
4NPP,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
4Piperidone,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,C1CNCCC1=O
4FEthamphetamine,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
4FMDMBBINACA,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
5pMethylphenyl5phenylhydantoin,TargetPeak,,,,,,,,,,,,,,,,,,,6.07,,,,
5pMethylphenyl5phenylhydantoin,Fragment,,,,,,,,,,,,,,,,,,,6.07,,,,
5pMethylphenyl5phenylhydantoin,Fragment,,,,,,,,,,,,,,,,,,,6.07,,,,
5pMethylphenyl5phenylhydantoin,Fragment,,,,,,,,,,,,,,,,,,,6.07,,,,
5pMethylphenyl5phenylhydantoin,Fragment,,,,,,,,,,,,,,,,,,,6.07,,,,
5Hydroxy dantroleneneg,TargetPeak,,,,,,,,,,,,,,,,,,,5.58,,,,
5Hydroxy dantroleneneg,Fragment,,,,,,,,,,,,,,,,,,,5.58,,,,
5Hydroxy dantroleneneg,Fragment,,,,,,,,,,,,,,,,,,,5.58,,,,
5Hydroxy dantroleneneg,Fragment,,,,,,,,,,,,,,,,,,,5.58,,,,
5Hydroxy dantroleneneg,Fragment,,,,,,,,,,,,,,,,,,,5.58,,,,
5Hydroxy dantroleneneg,Fragment,,,,,,,,,,,,,,,,,,,5.58,,,,
5Hydroxy dantrolenepos,TargetPeak,,,,,,,,,,,,,,,,,,,5.58,,,,
5Hydroxy dantrolenepos,Fragment,,,,,,,,,,,,,,,,,,,5.58,,,,
5Hydroxy dantrolenepos,Fragment,,,,,,,,,,,,,,,,,,,5.58,,,,
5Hydroxy dantrolenepos,Fragment,,,,,,,,,,,,,,,,,,,5.58,,,,
5Hydroxy dantrolenepos,Fragment,,,,,,,,,,,,,,,,,,,5.58,,,,
5Hydroxy dantrolenepos,Fragment,,,,,,,,,,,,,,,,,,,5.58,,,,
